Id,Title,Year,Rating,Views,Likes,Minutes,Tagline,Language,Countries,Directors,Cast
662656,Borat Subsequent Moviefilm,2020,3.3,522736,99049,96,Delivery of prodigious bribe to American regime for make benefit once glorious nation of Kazakhstan.,English,"['UK', 'USA']",['Jason Woliner'],"['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu', 'Manuel Vieru']"
390610,First Reformed,2017,4.0,269621,88124,113,,English,['USA'],['Paul Schrader'],"['Ethan Hawke', 'Amanda Seyfried', 'Cedric the Entertainer', 'Victoria Hill', 'Philip Ettinger']"
9788,Mission: Impossible – Ghost Protocol,2011,3.7,556578,121954,133,No Plan. No Backup. No Choice.,English,['USA'],['Brad Bird'],"['Tom Cruise', 'Paula Patton', 'Simon Pegg', 'Jeremy Renner', 'Michael Nyqvist']"
50653,The Elephant Man,1980,4.2,310234,93398,124,I am not an animal! I am a human being! I … am … a man!,English,"['USA', 'UK']",['David Lynch'],"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud', 'Wendy Hiller']"
8933,Project X,2012,3.2,558576,109935,88,Witness it,English,['USA'],['Nima Nourizadeh'],"['Thomas Mann', 'Oliver Cooper', 'Jonathan Daniel Brown', 'Dax Flame', 'Kirby Bliss Blanton']"
60299,Lawrence of Arabia,1962,4.4,279573,84259,228,A mighty motion picture of action and adventure!,English,['UK'],['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif']"
51705,Rain Man,1988,3.9,499140,104147,134,A journey through understanding and fellowship.,English,['USA'],['Barry Levinson'],"['Tom Cruise', 'Dustin Hoffman', 'Valeria Golino', 'Gerald R. Molen', 'Jack Murdock']"
143875,"Love, Rosie",2014,3.6,495337,137246,102,Right Love. Wrong Time.,English,"['Germany', 'UK']",['Christian Ditter'],"['Lily Collins', 'Sam Claflin', 'Christian Cooke', 'Tamsin Egerton', 'Suki Waterhouse']"
51709,Batman Returns,1992,3.6,580539,125347,126,"The Bat, the Cat, the Penguin.",English,['USA'],['Tim Burton'],"['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer', 'Christopher Walken', 'Michael Gough']"
578774,Kingdom of the Planet of the Apes,2024,3.4,271488,80337,145,No one can stop the reign.,English,['USA'],['Wes Ball'],"['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy']"
372701,Happy Death Day,2017,3.0,575841,98350,97,Get up. Live your day. Get killed. Again.,English,['USA'],['Christopher Landon'],"['Jessica Rothe', 'Israel Broussard', 'Ruby Modine', 'Rachel Matthews', 'Billy Slaughter']"
45130,Porco Rosso,1992,4.0,392967,124502,93,A Pig’s Got to Fly,Japanese,['Japan'],['Hayao Miyazaki'],"['Shūichirō Moriyama', 'Tokiko Kato', 'Bunshi Katsura Vi', 'Tsunehiko Kamijô', 'Akemi Okamura']"
544380,The Last Duel,2021,3.7,315316,81511,153,The true story of a woman who defied a nation and made history.,English,['USA'],['Ridley Scott'],"['Matt Damon', 'Adam Driver', 'Jodie Comer', 'Ben Affleck', 'Harriet Walter']"
118110,The Purge,2013,2.7,708624,75026,86,"One night a year, all crime is legal.",English,"['France', 'USA']",['James DeMonaco'],"['Ethan Hawke', 'Lena Headey', 'Max Burkholder', 'Adelaide Kane', 'Edwin Hodge']"
856036,Saw X,2023,3.2,315246,85195,118,Witness the return of Jigsaw.,English,['USA'],['Kevin Greutert'],"['Tobin Bell', 'Shawnee Smith', 'Synnøve Macody Lund', 'Steven Brand', 'Renata Vaca']"
357682,Halloween,2018,3.2,504495,104447,106,Face your fate,English,['USA'],['David Gordon Green'],"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'Will Patton', 'Virginia Gardner']"
